Area,Date,Temperature(C),Humidity(%),Pressure(hPa),WindSpeed(km/h),CloudCover(%),Rainfall(mm)
Thapathali,2025-06-29,21.58,97.0,1004.0,5.364,100.0,3.2
Thapathali,2025-06-30,23.12,89.0,1003.5,4.5,95.0,1.2
Thapathali,2025-07-01,26.68,77.0,1000.0,6.192,92.0,0.4
Thapathali,2025-07-02,22.03,85.0,1008.0,2.124,100.0,5.7
Thapathali,2025-07-03,24.45,81.0,1006.0,3.8,88.0,0.5
Thapathali,2025-07-04,25.1,79.0,1004.5,4.2,75.0,2.1
Thapathali,2025-07-05,26.52,71.0,1000.0,7.2,100.0,8.3
Kathmandu,2025-06-29,21.72,99.0,1004.0,4.824,100.0,4.5
Kathmandu,2025-06-30,22.95,92.0,1003.0,5.1,90.0,0.8
Kathmandu,2025-07-01,29.58,82.0,1001.0,7.128,100.0,1.2
Kathmandu,2025-07-02,23.5,88.0,1005.0,3.6,85.0,0.3
Kathmandu,2025-07-03,24.8,84.0,1004.0,4.4,70.0,3.7
Kathmandu,2025-07-04,25.6,78.0,1002.0,5.8,65.0,0.9
Kathmandu,2025-07-05,26.2,75.0,1001.0,6.5,80.0,2.4
Thamel,2025-06-29,21.58,99.0,1004.0,5.364,100.0,6.1
Thamel,2025-06-30,22.4,91.0,1003.0,4.9,95.0,1.0
Thamel,2025-07-01,26.68,77.0,1000.0,6.192,92.0,0.7
Thamel,2025-07-02,23.73,76.0,1004.0,5.58,100.0,3.5
Thamel,2025-07-03,24.9,80.0,1005.0,4.2,74.0,1.8
Thamel,2025-07-04,21.57,92.0,1005.0,5.688,100.0,7.2
Thamel,2025-07-05,22.03,93.0,1003.0,3.78,46.0,0.6
Bāneswar,2025-06-29,21.72,99.0,1004.0,4.824,100.0,4.0
Bāneswar,2025-06-30,23.49,66.0,1002.0,4.248,100.0,3.0
Bāneswar,2025-07-01,26.81,78.0,1001.0,5.832,95.0,1.5
Bāneswar,2025-07-02,23.66,77.0,1004.0,5.472,100.0,2.9
Bāneswar,2025-07-03,24.3,82.0,1003.0,4.8,90.0,0.2
Bāneswar,2025-07-04,23.5,83.0,1002.0,4.212,100.0,5.3
Bāneswar,2025-07-05,25.1,80.0,1001.0,5.4,85.0,1.1
Tripureshwar,2025-06-29,27.4,71.0,1005.0,7.2,88.0,2.3
Tripureshwar,2025-06-30,26.8,73.0,1004.0,6.5,85.0,0.8
Tripureshwar,2025-07-01,28.1,69.0,1003.0,7.8,80.0,1.5
Tripureshwar,2025-07-02,25.6,75.0,1006.0,5.2,90.0,4.2
Tripureshwar,2025-07-03,26.2,72.0,1005.0,6.0,82.0,0.7
Tripureshwar,2025-07-04,26.9,70.0,1004.0,6.8,78.0,3.1
Tripureshwar,2025-07-05,27.3,68.0,1003.0,7.5,75.0,1.9
Yetkha,2025-06-29,27.26,70.0,1005.0,7.272,84.0,3.4
Yetkha,2025-06-30,26.5,72.0,1004.0,6.8,82.0,1.2
Yetkha,2025-07-01,27.8,68.0,1003.0,7.5,80.0,0.5
Yetkha,2025-07-02,25.3,74.0,1006.0,5.5,88.0,5.7
Yetkha,2025-07-03,26.0,71.0,1005.0,6.2,85.0,2.1
Yetkha,2025-07-04,26.7,69.0,1004.0,7.0,83.0,0.9
Yetkha,2025-07-05,27.1,67.0,1003.0,7.3,80.0,4.3
Sinamangal,2025-06-29,27.69,73.0,1004.0,7.452,73.0,1.8
Sinamangal,2025-06-30,26.9,75.0,1003.0,6.9,80.0,3.2
Sinamangal,2025-07-01,28.2,71.0,1002.0,7.8,75.0,0.7
Sinamangal,2025-07-02,25.7,77.0,1005.0,5.7,85.0,6.4
Sinamangal,2025-07-03,26.4,74.0,1004.0,6.5,82.0,1.5
Sinamangal,2025-07-04,27.1,72.0,1003.0,7.2,78.0,2.9
Sinamangal,2025-07-05,27.5,70.0,1002.0,7.6,75.0,0.4
Kunda,2025-06-29,37.14,40.0,996.0,15.876,65.0,0.1
Kunda,2025-06-30,36.5,42.0,997.0,14.8,70.0,0.0
Kunda,2025-07-01,37.8,38.0,995.0,16.5,60.0,0.0
Kunda,2025-07-02,35.2,45.0,998.0,13.2,75.0,0.3
Kunda,2025-07-03,36.0,43.0,997.0,14.5,72.0,0.0
Kunda,2025-07-04,36.7,41.0,996.0,15.3,68.0,0.0
Kunda,2025-07-05,37.0,39.0,995.0,15.8,63.0,0.2
Pashupatīnāth,2025-06-29,25.94,79.0,1002.0,3.456,53.0,1.8
Pashupatīnāth,2025-06-30,26.5,75.0,1001.0,4.8,60.0,3.2
Pashupatīnāth,2025-07-01,28.76,71.0,1002.0,7.128,83.0,0.7
Pashupatīnāth,2025-07-02,23.63,76.0,1004.0,5.292,100.0,6.4
Pashupatīnāth,2025-07-03,24.8,78.0,1003.0,4.5,70.0,1.5
Pashupatīnāth,2025-07-04,25.2,74.0,1002.0,5.1,65.0,2.9
Pashupatīnāth,2025-07-05,26.0,72.0,1001.0,6.0,80.0,0.4
Rura,2025-06-29,38.92,31.0,996.0,17.568,93.0,0.0
Rura,2025-06-30,37.8,33.0,997.0,16.2,90.0,0.0
Rura,2025-07-01,39.5,29.0,995.0,18.6,95.0,0.0
Rura,2025-07-02,36.2,36.0,998.0,14.4,85.0,0.1
Rura,2025-07-03,37.1,34.0,997.0,15.8,88.0,0.0
Rura,2025-07-04,37.9,32.0,996.0,16.9,91.0,0.0
Rura,2025-07-05,38.5,30.0,995.0,17.4,94.0,0.0
Raisen,2025-06-29,26.9,75.0,1003.0,19.872,100.0,7.5
Raisen,2025-06-30,25.8,78.0,1004.0,18.3,95.0,3.2
Raisen,2025-07-01,27.5,72.0,1002.0,21.6,90.0,1.8
Raisen,2025-07-02,24.6,80.0,1005.0,16.8,100.0,9.4
Raisen,2025-07-03,25.3,77.0,1004.0,18.0,98.0,2.7
Raisen,2025-07-04,26.1,74.0,1003.0,19.2,96.0,1.3
Raisen,2025-07-05,26.7,71.0,1002.0,20.4,92.0,5.6
Sirsāganj,2025-06-29,36.97,38.0,997.0,13.716,100.0,0.0
Sirsāganj,2025-06-30,35.8,41.0,998.0,12.6,95.0,0.0
Sirsāganj,2025-07-01,37.6,36.0,996.0,14.9,90.0,0.0
Sirsāganj,2025-07-02,34.3,44.0,999.0,11.1,100.0,0.2
Sirsāganj,2025-07-03,35.2,42.0,998.0,12.3,98.0,0.0
Sirsāganj,2025-07-04,36.0,40.0,997.0,13.5,96.0,0.0
Sirsāganj,2025-07-05,36.5,37.0,996.0,14.1,93.0,0.1
Karnālī Zone,2025-06-29,5.2,78.0,1008.0,11.304,95.0,0.1
Karnālī Zone,2025-06-30,6.8,75.0,1007.0,10.2,90.0,0.0
Karnālī Zone,2025-07-01,7.5,72.0,1006.0,12.6,85.0,0.3
Karnālī Zone,2025-07-02,4.9,80.0,1009.0,9.8,92.0,1.7
Karnālī Zone,2025-07-03,5.6,77.0,1008.0,11.1,88.0,0.0
Karnālī Zone,2025-07-04,6.3,74.0,1007.0,10.5,83.0,0.0
Karnālī Zone,2025-07-05,7.1,71.0,1006.0,12.0,80.0,0.2
Dhangadhi,2025-06-29,36.93,40.0,998.0,6.66,74.0,0.0
Dhangadhi,2025-06-30,35.7,43.0,999.0,5.8,80.0,0.0
Dhangadhi,2025-07-01,37.5,38.0,997.0,7.9,70.0,0.0
Dhangadhi,2025-07-02,34.1,46.0,1000.0,4.9,85.0,0.3
Dhangadhi,2025-07-03,35.0,44.0,999.0,5.7,82.0,0.0
Dhangadhi,2025-07-04,35.8,41.0,998.0,6.5,78.0,0.0
Dhangadhi,2025-07-05,36.4,39.0,997.0,7.1,75.0,0.1
Patan,2025-06-29,25.92,80.0,1002.0,2.916,59.0,2.4
Patan,2025-06-30,24.8,83.0,1003.0,2.4,65.0,1.1
Patan,2025-07-01,26.5,77.0,1001.0,3.6,55.0,0.6
Patan,2025-07-02,23.7,86.0,1005.0,1.8,75.0,4.8
Patan,2025-07-03,24.5,84.0,1004.0,2.2,70.0,1.9
Patan,2025-07-04,25.2,81.0,1003.0,2.8,63.0,0.7
Patan,2025-07-05,25.8,78.0,1002.0,3.2,60.0,3.5
Kathmandu District,2025-06-29,18.94,81.0,1002.0,4.464,46.0,0.5
Kathmandu District,2025-06-30,20.1,78.0,1003.0,3.9,55.0,0.0
Kathmandu District,2025-07-01,21.5,74.0,1001.0,5.4,40.0,0.0
Kathmandu District,2025-07-02,17.8,85.0,1006.0,3.0,65.0,2.3
Kathmandu District,2025-07-03,18.6,83.0,1005.0,3.6,60.0,0.9
Kathmandu District,2025-07-04,19.3,80.0,1004.0,4.2,53.0,0.0
Kathmandu District,2025-07-05,19.9,77.0,1003.0,4.8,48.0,1.7
Sindhupalchok,2025-06-29,24.57,82.0,1002.0,2.88,59.0,1.9
Sindhupalchok,2025-06-30,23.4,85.0,1003.0,2.3,65.0,0.8
Sindhupalchok,2025-07-01,25.2,79.0,1001.0,3.5,55.0,0.4
Sindhupalchok,2025-07-02,22.3,88.0,1005.0,1.7,75.0,4.2
Sindhupalchok,2025-07-03,23.1,86.0,1004.0,2.1,70.0,1.6
Sindhupalchok,2025-07-04,23.8,83.0,1003.0,2.7,63.0,0.5
Sindhupalchok,2025-07-05,24.4,80.0,1002.0,3.1,60.0,3.0
Tulsīpur,2025-06-29,27.89,57.0,997.0,7.92,89.0,0.0
Tulsīpur,2025-06-30,26.7,60.0,998.0,6.8,85.0,0.0
Tulsīpur,2025-07-01,28.5,54.0,996.0,9.1,80.0,0.0
Tulsīpur,2025-07-02,25.2,63.0,999.0,5.6,92.0,0.3
Tulsīpur,2025-07-03,26.1,61.0,998.0,6.5,90.0,0.0
Tulsīpur,2025-07-04,26.9,58.0,997.0,7.4,87.0,0.0
Tulsīpur,2025-07-05,27.4,55.0,996.0,8.2,83.0,0.1
Dipayal,2025-06-29,20.38,91.0,1002.0,2.7,100.0,8.2
Dipayal,2025-06-30,21.5,88.0,1003.0,3.2,95.0,3.5
Dipayal,2025-07-01,23.1,84.0,1001.0,4.5,90.0,1.9
Dipayal,2025-07-02,19.2,93.0,1005.0,2.0,100.0,10.4
Dipayal,2025-07-03,20.0,91.0,1004.0,2.5,98.0,4.7
Dipayal,2025-07-04,20.8,89.0,1003.0,3.0,96.0,2.3
Dipayal,2025-07-05,21.5,86.0,1002.0,3.5,93.0,6.8
Padampur,2025-06-29,37.83,35.0,994.0,14.652,100.0,0.0
Padampur,2025-06-30,36.6,38.0,995.0,13.5,95.0,0.0
Padampur,2025-07-01,38.4,33.0,993.0,15.9,90.0,0.0
Padampur,2025-07-02,35.0,41.0,996.0,12.0,100.0,0.2
Padampur,2025-07-03,35.9,39.0,995.0,13.2,98.0,0.0
Padampur,2025-07-04,36.7,37.0,994.0,14.1,96.0,0.0
Padampur,2025-07-05,37.3,34.0,993.0,14.9,93.0,0.1
Kirā̃tīchhāp,2025-06-29,21.42,90.0,1003.0,1.476,74.0,4.1
Kirā̃tīchhāp,2025-06-30,22.6,87.0,1004.0,2.0,80.0,1.7
Kirā̃tīchhāp,2025-07-01,24.3,83.0,1002.0,3.3,70.0,0.9
Kirā̃tīchhāp,2025-07-02,20.2,92.0,1006.0,1.0,85.0,6.5
Kirā̃tīchhāp,2025-07-03,21.0,90.0,1005.0,1.5,82.0,2.8
Kirā̃tīchhāp,2025-07-04,21.8,88.0,1004.0,2.0,78.0,1.2
Kirā̃tīchhāp,2025-07-05,22.5,85.0,1003.0,2.5,75.0,4.9
Lahān,2025-06-29,31.59,61.0,997.0,7.02,100.0,0.0
Lahān,2025-06-30,30.4,64.0,998.0,6.1,95.0,0.0
Lahān,2025-07-01,32.2,58.0,996.0,8.3,90.0,0.0
Lahān,2025-07-02,28.9,67.0,999.0,5.0,100.0,0.3
Lahān,2025-07-03,29.8,65.0,998.0,6.0,98.0,0.0
Lahān,2025-07-04,30.6,63.0,997.0,6.8,96.0,0.0
Lahān,2025-07-05,31.2,60.0,996.0,7.5,93.0,0.1
Titahari,2025-06-29,31.12,61.0,996.0,7.92,3.0,0.0
Titahari,2025-06-30,29.9,64.0,997.0,6.8,10.0,0.0
Titahari,2025-07-01,31.8,58.0,995.0,9.2,5.0,0.0
Titahari,2025-07-02,28.4,67.0,998.0,5.6,15.0,0.1
Titahari,2025-07-03,29.3,65.0,997.0,6.7,12.0,0.0
Titahari,2025-07-04,30.1,63.0,996.0,7.5,10.0,0.0
Titahari,2025-07-05,30.7,60.0,995.0,8.3,8.0,0.0
Bhadrapur,2025-06-29,29.92,70.0,996.0,7.524,0.0,0.0
Bhadrapur,2025-06-30,28.7,73.0,997.0,6.5,5.0,0.0
Bhadrapur,2025-07-01,30.6,67.0,995.0,8.8,3.0,0.0
Bhadrapur,2025-07-02,27.1,76.0,998.0,5.1,10.0,0.2
Bhadrapur,2025-07-03,28.0,74.0,997.0,6.2,8.0,0.0
Bhadrapur,2025-07-04,28.8,72.0,996.0,7.0,6.0,0.0
Bhadrapur,2025-07-05,29.4,69.0,995.0,7.7,5.0,0.0
Jais,2025-06-29,36.82,39.0,994.0,15.984,100.0,0.0
Jais,2025-06-30,35.6,42.0,995.0,14.7,95.0,0.0
Jais,2025-07-01,37.4,37.0,993.0,17.1,90.0,0.0
Jais,2025-07-02,34.0,45.0,996.0,13.2,100.0,0.2
Jais,2025-07-03,34.9,43.0,995.0,14.4,98.0,0.0
Jais,2025-07-04,35.7,41.0,994.0,15.3,96.0,0.0
Jais,2025-07-05,36.3,38.0,993.0,16.2,93.0,0.1
Masaurhi Buzurg,2025-06-29,36.57,40.0,994.0,7.128,100.0,0.0
Masaurhi Buzurg,2025-06-30,35.4,43.0,995.0,6.5,95.0,0.0
Masaurhi Buzurg,2025-07-01,37.2,38.0,993.0,8.1,90.0,0.0
Masaurhi Buzurg,2025-07-02,33.8,46.0,996.0,5.4,100.0,0.3
Masaurhi Buzurg,2025-07-03,34.7,44.0,995.0,6.3,98.0,0.0
Masaurhi Buzurg,2025-07-04,35.5,42.0,994.0,7.0,96.0,0.0
Masaurhi Buzurg,2025-07-05,36.1,39.0,993.0,7.6,93.0,0.1
Amarpur,2025-06-29,33.32,54.0,995.0,14.184,33.0,0.0
Amarpur,2025-06-30,32.1,57.0,996.0,13.0,40.0,0.0
Amarpur,2025-07-01,34.0,51.0,994.0,15.5,30.0,0.0
Amarpur,2025-07-02,30.5,60.0,997.0,11.2,50.0,0.2
Amarpur,2025-07-03,31.4,58.0,996.0,12.3,45.0,0.0
Amarpur,2025-07-04,32.2,56.0,995.0,13.2,40.0,0.0
Amarpur,2025-07-05,32.8,53.0,994.0,14.0,38.0,0.0
Burang,2025-06-29,1.79,97.0,1010.0,5.94,100.0,0.1
Burang,2025-06-30,3.5,94.0,1011.0,5.1,95.0,0.0
Burang,2025-07-01,5.2,91.0,1009.0,7.3,90.0,0.0
Burang,2025-07-02,0.8,99.0,1012.0,4.2,100.0,1.8
Burang,2025-07-03,1.6,98.0,1011.0,4.8,98.0,0.7
Burang,2025-07-04,2.4,96.0,1010.0,5.4,96.0,0.0
Burang,2025-07-05,3.1,93.0,1009.0,6.0,93.0,0.3
Bālāju,2025-06-29,25.55,80.0,1002.0,4.356,48.0,1.2
Bālāju,2025-06-30,24.4,83.0,1003.0,3.8,55.0,0.5
Bālāju,2025-07-01,26.1,77.0,1001.0,5.2,45.0,0.3
Bālāju,2025-07-02,22.9,86.0,1005.0,3.0,65.0,3.7
Bālāju,2025-07-03,23.7,84.0,1004.0,3.5,60.0,1.5
Bālāju,2025-07-04,24.4,81.0,1003.0,4.0,53.0,0.6
Bālāju,2025-07-05,25.0,78.0,1002.0,4.5,50.0,2.8
Bhadrapur,2025-07-06,27.79,74.0,1000.0,13.176,99.0,0.0
Bhadrapur,2025-07-06,27.79,74.0,1000.0,13.176,99.0,0.0
Thamel,2025-07-06,24.26,79.0,1003.0,4.428,67.0,0.0
Thamel,2025-07-06,24.26,79.0,1003.0,4.428,67.0,0.0
Birendranagar,2025-07-06,27.21,76.0,1002.0,3.636,69.0,0.0
Gaur,2025-07-06,32.92,52.0,1000.0,21.96,31.0,0.0
Hetauda,2025-07-06,27.61,77.0,1002.0,5.796,47.0,0.0
Ilām,2025-07-06,26.75,73.0,1003.0,9.036,44.0,0.0
Bālāju,2025-07-06,24.22,79.0,1003.0,4.932,66.0,0.0
